employee_id,name,age,gender,education,department,job_level,location,salary,hire_date,years_at_company,performance_score,training_hours,manager_id,attrition,last_promotion_year,satisfaction_score
EMP00022,Employee_22,40,Male,Bachelor,Engineering,Lead,Bangalore,2019063,2014-06-17,10.5,4,30,EMP00273,No,2018,3.7
EMP00023,Employee_23,25,Female,Bachelor,Sales,Lead,Mumbai,1854385,2024-07-29,0.4,2,84,EMP00194,Yes,2015,2.2
EMP00024,Employee_24,28,Non-binary,Bachelor,Sales,Senior,Pune,1555090,2022-03-23,2.8,4,68,EMP00356,No,2022,1.6
EMP00025,Employee_25,50,Female,Master,HR,Junior,Hyderabad,477561,2019-05-30,5.6,1,77,EMP00192,Yes,2019,3.7
EMP00026,Employee_26,32,Female,Bachelor,Operations,Mid,Bangalore,916695,2014-12-11,10.1,5,29,EMP00163,No,2017,3.2
EMP00027,Employee_27,50,Male,Bachelor,Engineering,Junior,Hyderabad,310247,2020-01-28,4.9,4,89,EMP00307,No,2018,2.3
EMP00028,Employee_28,29,Female,Bachelor,HR,Junior,Delhi,500123,2023-03-21,1.8,4,23,EMP00220,No,2017,3.1
EMP00029,Employee_29,30,Female,Bachelor,Finance,Manager,Hyderabad,2431626,2016-03-28,8.8,2,99,EMP00326,Yes,2017,1.8
EMP00030,Employee_30,26,Male,PhD,Engineering,Senior,Mumbai,1192968,2010-02-23,14.9,4,98,EMP00126,No,2015,3.3
EMP00031,Employee_31,52,Female,Bachelor,Finance,Junior,Delhi,591727,2013-07-31,11.4,5,114,EMP00472,No,2017,3.7
EMP00032,Employee_32,31,Female,Master,Engineering,Mid,Hyderabad,836835,2019-06-25,5.5,4,20,EMP00024,No,2018,2.9
EMP00033,Employee_33,45,Male,Master,Engineering,Manager,Pune,2565649,2017-08-19,7.4,5,4,EMP00391,No,2023,1.6
EMP00034,Employee_34,38,Female,Bachelor,IT,Senior,Mumbai,1102473,2016-03-26,8.8,2,91,EMP00316,Yes,2018,4.0
EMP00035,Employee_35,32,Male,Master,IT,Senior,Chennai,1055387,2013-06-27,11.5,4,81,EMP00301,No,2022,4.8
EMP00036,Employee_36,55,Female,Bachelor,Operations,Senior,Hyderabad,1223561,2014-10-30,10.2,3,78,EMP00097,No,2015,2.9
EMP00037,Employee_37,45,Male,Master,Sales,Junior,Delhi,407327,2017-07-20,7.5,2,61,EMP00438,Yes,2024,4.9
EMP00038,Employee_38,29,Female,Bachelor,Engineering,Director,Chennai,4022755,2012-04-17,12.7,4,34,EMP00275,No,2018,1.2
EMP00039,Employee_39,45,Male,Master,Marketing,Junior,Hyderabad,578496,2012-01-30,12.9,4,80,EMP00151,No,2016,5.0
EMP00040,Employee_40,23,Female,Bachelor,Sales,Lead,Chennai,1972282,2018-07-10,6.5,3,64,EMP00405,No,2015,3.6
EMP00041,Employee_41,29,Male,Bachelor,Engineering,Junior,Bangalore,559291,2012-03-03,12.8,4,118,EMP00077,No,2018,4.8
EMP00042,Employee_42,52,Male,Master,HR,Mid,Bangalore,704791,2018-01-19,7.0,2,30,EMP00168,Yes,2019,1.7
EMP00043,Employee_43,56,Female,Master,Engineering,Manager,Delhi,2260965,2017-09-18,7.3,4,39,EMP00127,Yes,2020,2.9
EMP00044,Employee_44,25,Male,Bachelor,IT,Lead,Hyderabad,2077176,2023-07-17,1.5,4,43,EMP00028,No,2018,4.9
EMP00045,Employee_45,33,Female,Diploma,Sales,Mid,Mumbai,869024,2015-12-07,9.1,2,77,EMP00323,Yes,2017,2.6
EMP00046,Employee_46,37,Female,Bachelor,Marketing,Senior,Chennai,1372279,2010-12-22,14.0,4,75,EMP00408,No,2015,3.7
EMP00047,Employee_47,43,Male,Bachelor,Sales,Junior,Mumbai,400459,2020-04-21,4.7,3,4,EMP00144,No,2023,1.8
EMP00048,Employee_48,38,Female,Master,HR,Director,Delhi,3268204,2022-01-10,3.0,4,73,EMP00447,No,2019,4.4
EMP00049,Employee_49,46,Female,Bachelor,HR,Lead,Chennai,2097769,2012-10-19,12.2,3,101,EMP00065,No,2017,2.1
EMP00050,Employee_50,36,Male,Diploma,Engineering,Mid,Pune,753432,2018-06-28,6.5,3,80,EMP00436,No,2017,1.6
EMP00051,Employee_51,41,Male,Master,IT,Mid,Hyderabad,687941,2011-10-08,13.2,3,48,EMP00261,No,2017,3.2
EMP00052,Employee_52,52,Female,Master,Operations,Mid,Hyderabad,727668,2022-05-20,2.6,5,105,EMP00496,No,2021,2.0
EMP00053,Employee_53,26,Non-binary,Bachelor,IT,Lead,Pune,1875485,2016-07-29,8.4,3,92,EMP00300,No,2015,4.1
EMP00054,Employee_54,51,Female,Master,Legal,Mid,Mumbai,824400,2024-02-06,0.9,2,47,EMP00454,Yes,2018,4.4
EMP00055,Employee_55,48,Female,Master,Finance,Mid,Mumbai,643322,2023-11-15,1.1,2,20,EMP00251,Yes,2024,3.1
EMP00056,Employee_56,35,Female,Master,IT,Manager,Pune,2971555,2018-02-10,6.9,2,46,EMP00108,Yes,2021,1.1
EMP00057,Employee_57,38,Female,Bachelor,Engineering,Junior,Delhi,306611,2022-12-13,2.1,1,117,EMP00373,Yes,2017,2.6
EMP00058,Employee_58,51,Male,Master,Engineering,Mid,Pune,855919,2014-04-25,10.7,3,108,EMP00042,No,2022,1.1
EMP00059,Employee_59,25,Female,Master,Engineering,Mid,Delhi,950116,2011-07-24,13.4,3,1,EMP00402,No,2022,4.6
EMP00060,Employee_60,25,Female,Bachelor,Sales,Mid,Pune,974575,2011-01-11,14.0,3,61,EMP00241,No,2021,2.1
EMP00061,Employee_61,24,Non-binary,Master,Sales,Senior,Chennai,1536809,2024-10-31,0.2,2,14,EMP00405,Yes,2023,4.9
EMP00062,Employee_62,28,Male,Diploma,Sales,Senior,Bangalore,1535194,2015-02-10,9.9,2,85,EMP00340,Yes,2021,2.2
EMP00063,Employee_63,56,Male,Bachelor,Operations,Junior,Hyderabad,452481,2016-06-28,8.5,3,75,EMP00315,No,2021,2.7
EMP00064,Employee_64,34,Male,Bachelor,Sales,Junior,Chennai,586608,2011-10-16,13.2,4,89,EMP00034,No,2024,1.0
EMP00065,Employee_65,57,Female,Master,Sales,Junior,Pune,549220,2015-03-23,9.8,4,56,EMP00086,No,2018,4.8
EMP00066,Employee_66,57,Female,Bachelor,HR,Junior,Bangalore,418523,2012-04-07,12.7,4,68,EMP00261,No,2019,3.0
EMP00067,Employee_67,49,Female,Bachelor,Engineering,Junior,Pune,320662,2018-07-11,6.5,3,92,EMP00199,No,2016,1.5
EMP00068,Employee_68,53,Female,Bachelor,Operations,Mid,Hyderabad,898055,2016-03-27,8.8,4,0,EMP00385,No,2021,4.3
EMP00069,Employee_69,35,Male,Bachelor,Engineering,Mid,Mumbai,777652,2020-03-03,4.8,5,95,EMP00452,No,2018,2.1
EMP00070,Employee_70,57,Male,Bachelor,IT,Lead,Chennai,1749682,2024-04-04,0.7,4,10,EMP00331,No,2023,1.0
EMP00071,Employee_71,56,Female,Bachelor,Operations,Mid,Delhi,605678,2018-03-08,6.8,2,33,EMP00385,Yes,2016,3.7
EMP00072,Employee_72,59,Male,Bachelor,Engineering,Senior,Delhi,1292665,2013-08-25,11.4,4,16,EMP00261,No,2022,2.0
EMP00073,Employee_73,26,Female,Bachelor,Engineering,Junior,Chennai,391788,2018-04-21,6.7,3,90,EMP00192,No,2021,4.8
EMP00074,Employee_74,27,Male,Bachelor,Operations,Senior,Hyderabad,1394021,2017-12-20,7.0,3,63,EMP00256,No,2018,1.7
EMP00075,Employee_75,33,Male,Master,Marketing,Lead,Mumbai,1931455,2014-09-13,10.3,4,58,EMP00266,No,2023,2.1
EMP00076,Employee_76,33,Male,Master,Marketing,Senior,Chennai,1467543,2015-12-28,9.0,4,78,EMP00238,No,2021,3.3
EMP00077,Employee_77,29,Female,Bachelor,Operations,Mid,Bangalore,732777,2024-07-14,0.5,1,76,EMP00092,Yes,2019,4.7
EMP00078,Employee_78,39,Male,Bachelor,Engineering,Mid,Mumbai,802605,2011-08-08,13.4,3,13,EMP00165,No,2015,2.4
EMP00079,Employee_79,39,Male,Diploma,Sales,Lead,Delhi,1894290,2023-08-31,1.3,4,41,EMP00365,No,2024,2.9
EMP00080,Employee_80,31,Male,Master,Engineering,Mid,Mumbai,952160,2024-03-29,0.8,3,117,EMP00192,Yes,2017,1.4
EMP00081,Employee_81,27,Male,Master,Legal,Mid,Hyderabad,893195,2013-11-02,11.2,2,106,EMP00270,Yes,2022,1.4
EMP00082,Employee_82,26,Female,Bachelor,Finance,Manager,Hyderabad,2839971,2021-12-24,3.0,4,43,EMP00356,No,2020,4.3
EMP00083,Employee_83,44,Female,Master,Sales,Senior,Mumbai,1090672,2015-06-29,9.5,5,116,EMP00248,No,2024,2.0
EMP00084,Employee_84,46,Non-binary,Master,Engineering,Lead,Delhi,2183294,2013-08-31,11.3,5,17,EMP00367,No,2021,3.8
EMP00085,Employee_85,28,Female,Bachelor,Sales,Junior,Mumbai,386755,2020-05-14,4.6,3,96,EMP00490,Yes,2016,1.6
EMP00086,Employee_86,26,Female,Master,Sales,Mid,Delhi,629402,2018-07-06,6.5,3,36,EMP00254,No,2019,2.2
EMP00087,Employee_87,52,Female,Master,Marketing,Senior,Chennai,1563940,2016-01-21,9.0,4,53,EMP00243,No,2019,3.5
EMP00088,Employee_88,40,Female,Diploma,Finance,Senior,Hyderabad,1378442,2024-05-09,0.6,4,28,EMP00138,No,2017,1.2
EMP00089,Employee_89,57,Male,Bachelor,Legal,Junior,Mumbai,534729,2022-06-29,2.5,4,30,EMP00298,No,2020,2.3
EMP00090,Employee_90,56,Female,PhD,HR,Senior,Pune,1442416,2014-12-05,10.1,3,81,EMP00206,Yes,2018,2.3
EMP00091,Employee_91,30,Non-binary,Diploma,Engineering,Senior,Mumbai,1146087,2017-04-10,7.7,4,51,EMP00327,Yes,2016,1.4
EMP00092,Employee_92,45,Male,Bachelor,Marketing,Mid,Delhi,756295,2011-04-04,13.8,4,58,EMP00472,No,2015,2.5
EMP00093,Employee_93,39,Male,Bachelor,Operations,Senior,Bangalore,1580509,2015-02-20,9.9,3,57,EMP00405,No,2017,3.7
EMP00094,Employee_94,30,Female,Bachelor,Finance,Mid,Delhi,758456,2010-09-20,14.3,2,73,EMP00299,Yes,2021,4.2
EMP00095,Employee_95,59,Male,Bachelor,Operations,Senior,Bangalore,1024190,2017-01-28,7.9,4,95,EMP00333,No,2015,2.3
EMP00096,Employee_96,55,Male,Master,HR,Junior,Mumbai,304369,2018-12-31,6.0,3,16,EMP00019,No,2023,3.5
EMP00097,Employee_97,54,Female,Bachelor,HR,Senior,Hyderabad,1372132,2016-01-03,9.0,4,0,EMP00107,No,2020,1.3
EMP00098,Employee_98,25,Male,PhD,Sales,Mid,Chennai,970177,2011-06-27,13.5,3,68,EMP00113,No,2023,3.6
EMP00099,Employee_99,41,Male,Diploma,Engineering,Lead,Hyderabad,2022504,2014-09-25,10.3,3,66,EMP00459,No,2016,3.0
EMP00100,Employee_100,44,Male,Bachelor,Engineering,Senior,Hyderabad,1507787,2022-09-21,2.3,5,92,EMP00104,No,2022,3.3
EMP00101,Employee_101,57,Male,Master,Engineering,Senior,Chennai,1444790,2017-01-21,7.9,4,44,EMP00232,No,2022,3.8
EMP00102,Employee_102,47,Female,Bachelor,Finance,Manager,Mumbai,2982335,2014-10-08,10.2,2,101,EMP00442,Yes,2015,4.2
EMP00103,Employee_103,22,Male,Master,Sales,Junior,Delhi,350272,2024-09-13,0.3,4,29,EMP00121,No,2021,1.1
EMP00104,Employee_104,53,Female,Bachelor,HR,Senior,Hyderabad,1534359,2021-03-13,3.8,4,104,EMP00203,No,2023,1.3
EMP00105,Employee_105,49,Male,Master,IT,Mid,Delhi,912110,2018-11-16,6.1,3,71,EMP00112,No,2023,3.9
EMP00106,Employee_106,45,Male,Diploma,Engineering,Director,Hyderabad,4148001,2024-06-02,0.6,5,113,EMP00157,No,2019,3.4
EMP00107,Employee_107,34,Male,Bachelor,Sales,Lead,Pune,2041019,2020-04-16,4.7,3,98,EMP00218,No,2023,2.3
EMP00108,Employee_108,54,Male,Diploma,Operations,Lead,Mumbai,1658825,2013-03-16,11.8,5,2,EMP00456,No,2023,4.0
EMP00109,Employee_109,33,Female,PhD,Engineering,Mid,Delhi,603573,2015-12-10,9.1,3,72,EMP00194,No,2018,3.2
EMP00110,Employee_110,54,Male,Bachelor,Engineering,Mid,Pune,967554,2013-02-17,11.9,4,64,EMP00293,Yes,2024,3.2
EMP00111,Employee_111,35,Female,Bachelor,Sales,Junior,Chennai,342311,2015-07-14,9.5,3,96,EMP00081,Yes,2015,3.6
EMP00112,Employee_112,34,Male,Bachelor,Engineering,Senior,Mumbai,1049264,2022-08-04,2.4,5,3,EMP00479,No,2020,4.4
EMP00113,Employee_113,58,Female,Bachelor,IT,Mid,Chennai,780166,2022-02-02,2.9,3,93,EMP00432,No,2019,2.1
EMP00114,Employee_114,48,Female,Master,Operations,Mid,Pune,729471,2015-11-23,9.1,3,94,EMP00192,No,2017,5.0
EMP00115,Employee_115,25,Female,Bachelor,Finance,Senior,Hyderabad,1038022,2023-02-10,1.9,4,14,EMP00131,Yes,2017,2.5
EMP00116,Employee_116,25,Female,Bachelor,Legal,Lead,Pune,1665858,2019-08-11,5.4,1,101,EMP00282,Yes,2019,3.3
EMP00117,Employee_117,37,Male,Bachelor,Operations,Junior,Hyderabad,379522,2023-02-02,1.9,5,69,EMP00044,No,2020,4.4
EMP00118,Employee_118,39,Male,Master,Engineering,Manager,Chennai,2837814,2018-12-16,6.0,2,105,EMP00069,Yes,2020,2.9
EMP00119,Employee_119,37,Male,Bachelor,Legal,Junior,Hyderabad,348929,2018-02-13,6.9,4,34,EMP00385,No,2021,1.7
EMP00120,Employee_120,52,Male,PhD,HR,Junior,Hyderabad,381696,2014-12-02,10.1,4,97,EMP00044,No,2015,5.0
EMP00121,Employee_121,47,Male,Master,Operations,Lead,Chennai,1740525,2013-02-07,11.9,3,26,EMP00152,No,2022,4.3
EMP00122,Employee_122,44,Female,Bachelor,Legal,Senior,Delhi,1340352,2021-06-06,3.6,4,105,EMP00228,Yes,2016,1.5
EMP00123,Employee_123,23,Female,Bachelor,Sales,Manager,Delhi,2635920,2021-01-25,3.9,4,76,EMP00266,No,2015,3.5
EMP00124,Employee_124,59,Male,Bachelor,Engineering,Senior,Mumbai,1290989,2012-01-15,13.0,3,40,EMP00181,No,2016,2.2
EMP00125,Employee_125,32,Female,Bachelor,Engineering,Manager,Chennai,2634697,2011-01-21,14.0,3,21,EMP00118,No,2023,3.3
EMP00126,Employee_126,26,Male,Bachelor,Sales,Mid,Mumbai,808623,2012-06-17,12.5,2,39,EMP00299,Yes,2017,1.5
EMP00127,Employee_127,35,Female,Master,Operations,Senior,Bangalore,1122146,2013-06-06,11.6,4,92,EMP00022,No,2021,4.0
EMP00128,Employee_128,37,Male,Bachelor,Legal,Director,Hyderabad,4362658,2024-01-28,0.9,3,57,EMP00239,No,2020,4.0
EMP00129,Employee_129,58,Male,Master,Engineering,Mid,Chennai,874035,2013-08-03,11.4,3,36,EMP00263,No,2020,1.9
EMP00130,Employee_130,42,Female,Master,HR,Junior,Bangalore,558815,2019-06-21,5.5,5,57,EMP00319,No,2022,2.5
EMP00131,Employee_131,29,Male,Master,Sales,Junior,Chennai,488869,2023-05-18,1.6,3,42,EMP00173,No,2017,3.1
EMP00132,Employee_132,35,Female,Diploma,Engineering,Manager,Chennai,2233314,2011-06-05,13.6,5,44,EMP00219,No,2018,3.7
EMP00133,Employee_133,30,Male,Diploma,Engineering,Senior,Hyderabad,1576004,2018-08-19,6.4,5,11,EMP00231,No,2019,2.4
EMP00134,Employee_134,33,Female,Master,Sales,Senior,Chennai,1388346,2018-07-24,6.4,4,104,EMP00240,No,2019,1.2
EMP00135,Employee_135,36,Non-binary,Master,IT,Lead,Bangalore,1720241,2023-05-14,1.6,1,68,EMP00222,Yes,2020,2.1
EMP00136,Employee_136,46,Female,Master,Sales,Lead,Bangalore,1676003,2020-07-01,4.5,5,68,EMP00210,No,2024,3.1
EMP00137,Employee_137,42,Male,Master,HR,Senior,Delhi,1000357,2021-11-13,3.1,3,58,EMP00189,No,2024,2.6
EMP00138,Employee_138,55,Male,Bachelor,Marketing,Manager,Hyderabad,2780293,2015-08-22,9.4,3,49,EMP00412,No,2019,4.9
EMP00139,Employee_139,47,Male,Diploma,Sales,Senior,Chennai,1363682,2022-05-30,2.6,5,25,EMP00255,No,2015,2.5
EMP00140,Employee_140,25,Non-binary,Master,IT,Senior,Mumbai,1410018,2010-04-05,14.8,3,89,EMP00163,No,2018,4.3
EMP00141,Employee_141,46,Male,Bachelor,IT,Junior,Mumbai,514209,2012-07-27,12.4,4,9,EMP00140,No,2019,1.1
EMP00142,Employee_142,53,Male,Bachelor,Sales,Junior,Hyderabad,556055,2022-01-16,3.0,3,48,EMP00196,No,2019,2.8
EMP00143,Employee_143,50,Non-binary,Bachelor,HR,Manager,Chennai,2494928,2015-12-26,9.0,3,2,EMP00013,No,2017,2.7
EMP00144,Employee_144,43,Female,Bachelor,Sales,Mid,Hyderabad,925396,2024-05-17,0.6,4,63,EMP00092,No,2021,4.7
EMP00145,Employee_145,55,Female,Master,Sales,Mid,Hyderabad,990795,2017-08-18,7.4,5,70,EMP00227,No,2019,2.1
EMP00146,Employee_146,40,Male,Bachelor,Engineering,Senior,Delhi,1110903,2012-07-02,12.5,3,5,EMP00120,No,2020,2.8
EMP00147,Employee_147,27,Male,Master,Finance,Senior,Delhi,1273087,2016-08-01,8.4,3,54,EMP00136,No,2023,3.6
EMP00148,Employee_148,41,Male,Bachelor,HR,Junior,Mumbai,363528,2019-10-02,5.3,1,65,EMP00331,Yes,2022,3.9
EMP00149,Employee_149,37,Female,PhD,Engineering,Lead,Mumbai,2120872,2013-07-19,11.5,3,57,EMP00039,No,2019,4.9
EMP00150,Employee_150,54,Male,Master,Sales,Senior,Bangalore,1409466,2020-03-05,4.8,3,54,EMP00184,No,2018,4.9
EMP00151,Employee_151,30,Male,Master,IT,Manager,Bangalore,2343535,2010-01-27,14.9,2,78,EMP00462,Yes,2015,3.2
EMP00152,Employee_152,43,Male,Bachelor,Engineering,Senior,Delhi,1044053,2015-11-28,9.1,4,95,EMP00043,No,2019,3.7
EMP00153,Employee_153,55,Male,Bachelor,Engineering,Mid,Bangalore,819526,2021-03-24,3.8,2,1,EMP00151,Yes,2018,1.4
EMP00154,Employee_154,40,Female,Master,HR,Mid,Hyderabad,670030,2014-01-03,11.0,3,30,EMP00432,No,2024,4.4
EMP00155,Employee_155,58,Female,Bachelor,IT,Junior,Bangalore,555494,2021-05-21,3.6,3,42,EMP00257,No,2018,2.4
EMP00156,Employee_156,25,Male,Diploma,Engineering,Junior,Bangalore,363308,2012-05-21,12.6,5,64,EMP00263,No,2022,3.2
EMP00157,Employee_157,26,Male,Master,Marketing,Junior,Hyderabad,577941,2024-01-10,1.0,3,74,EMP00280,No,2016,4.6
EMP00158,Employee_158,33,Female,Bachelor,Operations,Manager,Delhi,2858108,2016-09-10,8.3,2,81,EMP00330,Yes,2022,1.5
EMP00159,Employee_159,54,Male,Bachelor,Engineering,Manager,Mumbai,2635532,2024-05-01,0.7,4,102,EMP00041,No,2024,4.4
EMP00160,Employee_160,30,Male,Master,Marketing,Senior,Delhi,1344137,2021-05-21,3.6,3,54,EMP00403,No,2023,1.6
EMP00161,Employee_161,50,Female,Master,Sales,Junior,Mumbai,491324,2023-08-29,1.3,4,64,EMP00142,No,2015,2.2
EMP00162,Employee_162,51,Male,Diploma,Finance,Junior,Hyderabad,443949,2014-06-18,10.5,3,24,EMP00475,No,2024,3.7
EMP00163,Employee_163,50,Female,Master,Finance,Mid,Delhi,684688,2013-06-06,11.6,3,97,EMP00117,No,2017,3.9
EMP00164,Employee_164,38,Male,Bachelor,HR,Manager,Mumbai,2927308,2018-05-22,6.6,3,66,EMP00051,No,2024,4.0
EMP00165,Employee_165,56,Male,Bachelor,Engineering,Senior,Chennai,1081697,2013-08-16,11.4,4,38,EMP00061,No,2015,4.7
EMP00166,Employee_166,34,Female,Master,Operations,Lead,Delhi,2042804,2022-02-05,2.9,3,40,EMP00037,No,2016,2.2
EMP00167,Employee_167,57,Male,Bachelor,Sales,Senior,Pune,1515993,2021-11-23,3.1,3,110,EMP00185,No,2019,4.1
EMP00168,Employee_168,25,Male,Master,Engineering,Senior,Bangalore,1078444,2010-01-05,15.0,4,94,EMP00020,No,2023,5.0
EMP00169,Employee_169,22,Male,Bachelor,Engineering,Senior,Mumbai,1536138,2023-06-08,1.6,3,118,EMP00280,No,2018,1.3
EMP00170,Employee_170,59,Female,Master,Finance,Junior,Chennai,572678,2017-04-09,7.7,4,49,EMP00103,No,2020,1.8
EMP00171,Employee_171,48,Male,Diploma,Marketing,Mid,Mumbai,633043,2020-12-16,4.0,4,56,EMP00171,No,2019,4.7
EMP00172,Employee_172,49,Male,PhD,Engineering,Manager,Delhi,2304169,2010-06-09,14.6,4,61,EMP00101,No,2021,2.0
EMP00173,Employee_173,46,Male,Master,HR,Senior,Chennai,1093392,2012-07-05,12.5,3,97,EMP00346,No,2022,4.8
EMP00174,Employee_174,45,Female,Master,Engineering,Mid,Bangalore,816855,2018-02-21,6.9,1,18,EMP00169,Yes,2022,3.1
EMP00175,Employee_175,23,Male,Diploma,Finance,Senior,Chennai,1562769,2016-11-24,8.1,4,51,EMP00129,No,2018,3.2
EMP00176,Employee_176,44,Male,Diploma,Engineering,Mid,Mumbai,790496,2015-05-16,9.6,5,47,EMP00155,No,2024,1.4
EMP00177,Employee_177,43,Male,Bachelor,Marketing,Senior,Chennai,1183911,2011-04-20,13.7,4,93,EMP00382,No,2016,1.7
EMP00178,Employee_178,39,Male,Bachelor,Sales,Junior,Mumbai,375976,2015-05-28,9.6,3,27,EMP00418,No,2016,4.5
EMP00179,Employee_179,37,Female,Diploma,IT,Director,Hyderabad,3130913,2022-09-22,2.3,4,41,EMP00394,No,2021,3.9
EMP00180,Employee_180,53,Female,Bachelor,Engineering,Junior,Mumbai,479810,2011-10-08,13.2,4,34,EMP00350,No,2021,1.5
EMP00181,Employee_181,24,Female,Bachelor,Sales,Senior,Bangalore,1549723,2011-12-03,13.1,5,58,EMP00433,No,2015,1.6
EMP00182,Employee_182,22,Male,Bachelor,Engineering,Mid,Mumbai,993252,2020-11-25,4.1,2,35,EMP00141,Yes,2017,4.7
EMP00183,Employee_183,55,Male,PhD,IT,Junior,Delhi,394182,2011-07-21,13.5,1,7,EMP00098,Yes,2019,4.1
EMP00184,Employee_184,47,Male,Bachelor,Legal,Senior,Delhi,1035495,2021-12-12,3.1,5,0,EMP00362,No,2015,1.5
EMP00185,Employee_185,27,Male,Master,Sales,Director,Pune,3971052,2012-10-27,12.2,3,62,EMP00310,Yes,2021,3.3
EMP00186,Employee_186,57,Male,Bachelor,Marketing,Lead,Bangalore,1966057,2012-11-17,12.1,4,34,EMP00071,No,2015,4.9
EMP00187,Employee_187,30,Female,Bachelor,Operations,Mid,Bangalore,652460,2024-10-18,0.2,4,75,EMP00438,No,2017,3.1
EMP00188,Employee_188,28,Female,Bachelor,Finance,Senior,Hyderabad,1168530,2020-08-29,4.3,4,93,EMP00386,No,2021,1.4
EMP00189,Employee_189,52,Male,Master,HR,Junior,Delhi,578606,2022-05-01,2.7,4,8,EMP00367,No,2016,2.9
EMP00190,Employee_190,54,Female,Bachelor,Engineering,Senior,Delhi,1229096,2013-09-14,11.3,3,82,EMP00379,No,2017,2.2
EMP00191,Employee_191,25,Male,PhD,Engineering,Junior,Chennai,366567,2015-12-12,9.1,4,92,EMP00279,No,2024,3.1
EMP00192,Employee_192,27,Female,Master,Legal,Lead,Pune,1865683,2021-11-01,3.2,4,5,EMP00468,No,2017,4.0
EMP00193,Employee_193,32,Female,Bachelor,IT,Junior,Delhi,413394,2023-08-10,1.4,5,40,EMP00134,No,2018,3.0
EMP00194,Employee_194,34,Male,Bachelor,Finance,Junior,Delhi,448940,2019-06-29,5.5,2,23,EMP00005,Yes,2020,1.5
EMP00195,Employee_195,30,Male,Master,Sales,Manager,Chennai,2567008,2014-10-02,10.3,3,106,EMP00395,No,2015,4.0
EMP00196,Employee_196,39,Male,Diploma,Sales,Manager,Hyderabad,2718945,2022-02-04,2.9,3,110,EMP00154,No,2019,2.0
EMP00197,Employee_197,47,Female,Master,Marketing,Junior,Bangalore,363924,2014-07-06,10.5,4,85,EMP00145,No,2021,1.1
EMP00198,Employee_198,44,Female,Master,Legal,Mid,Hyderabad,775326,2016-12-28,8.0,3,59,EMP00422,Yes,2021,1.6
